UTTERANCE,TRUE_LABEL,RESPONSE,PRED_LABEL
is it only paper you re thinking about or could it be other things like mugs or fabric or pottery,S,"{""label"": ""S""}
Okay, let's tackle this classification. The text",S
it could be anything,S,"{""label"": ""S""}
Text: ""it could be a soldering iron",S
it could be anything,S,"{""label"": ""S""}
Okay, let's tackle this classification. The text",S
yeah I guess it could be all those,S,"{""label"": ""Be""} 

Text: ""but I think that the main",Be
I ended up with the hold on sledge,S,"{""label"": ""S""}
Text: ""the problem with the sledge is",S
the sledge excellent,Bs,"{""label"": ""S""}
Okay, let's tackle this. The text",S
write sledge,D,"{""label"": ""S""}
Text: ""and the pen can be used with",S
so what did that generate then,Bs,"{""label"": ""Be""}
Text: ""and then we thought well maybe we",Be
the sledge manages to keep level,BS,"{""label"": ""Be""}
Okay, let's tackle this classification. The text",Be
by having quite a wide base,S,"{""label"": ""Bs""}
Okay, let's tackle this classification. The text",Bs
write wide base,D,"{""label"": ""S""}
Okay, let's tackle this. The text is",S
a main force in the middle,BS,"{""label"": ""Be""}.

Text: ""the main focus is on the",Be
unlike the set of skis,S,"{""label"": ""S""}
Okay, let's tackle this classification. The text",S
where quite narrow and you go up on an edge when you re turning,Bs,"{""label"": ""Be""} 

Text: ""so the pen is designed",Be
the sledge is er quite broad,S,"{""label"": ""S""}
Text: ""it is made of steel""
Label",S
and then you have the weight right in the middle so they manage to keep both runners on the snow,BS,"{""label"": ""Bs""} 

Text: ""and then you have the",Bs
write force in middle,D,"{""label"": ""Bs""}
Okay, let's tackle this. The text is",Bs
more often than say a sledge or a snowboard a skis or snowboard,S,"{""label"": ""S""}
Okay, let's tackle this labeling task. The",S
so so would you potential see some some some guiders almost down the side of this,S,"{""label"": ""Be""}
Okay, let's tackle this classification. The text",Be
well I guess the easiest way to keep the pen at a right angle would be,Be,"{""label"": ""Be""}
Alright, let's tackle this classification. The text",Be
to have a set of stabilisers on it,S,"{""label"": ""S""}
Okay, let's tackle this. The text is",S
based on the idea of a sledge,Be,"{""label"": ""S""}
Okay, let's tackle this classification. The text",S
yeah no problem stabilisers like a bicycle yeah that is a good idea,S,"{""label"": ""Bs""}
Okay, let's break this down. The",Bs
write stabiliser,D,"{""label"": ""S""}
Text: ""so that the pen can write at",S
I was thinking that is sort of maybe like a flat base with a sort of universal joint like a windsurf mast,S,"{""label"": ""S""} The text describes a physical structure or component (",S
yeah write Universal base ,D,"{""label"": ""S""}
Text: ""so we can write on any type",S
if the is like this it stays flat but the bit you hold onto can be at,Bs,"{""label"": ""Be""}
Okay, let's tackle this. The text",Be
different angles,Bs,"{""label"": ""Be""}
Okay, let's tackle this. The text is",Be
I guess the size of the thing in contact with the paper you could either have a very small contact area,S,"{""label"": ""Bs""} 
Okay, let's tackle this classification. The",Bs
and er track where it goes or you can have a wide contact area,S,"{""label"": ""Be""}
Okay, let's tackle this. The text is",Be
show the relative size of the pen clears throat if you have got an example because that is,S,"{""label"": ""Be""} 

Text: ""a pen that is about",Be
look at the end of that,S,"{""label"": ""Be""}
Text: ""look at the end of that""",Be
size is dictated by cost really it needs to be quite narrow,S,"{""label"": ""F""}
Okay, let's tackle this classification. The text",F
I imagine it to be that,S,"{""label"": ""F""}
Text: ""So that the user can draw with",F
could be a that way,S,"{""label"": ""Be""}.

Text: ""so the main idea is that",Be
lets just use that as guidance but let us,S,"{""label"": ""Be""}.
Okay, let's tackle this classification. The",Be
tip of that,S,"{""label"": ""S""} 

Text: ""the pen is designed to draw",S
rather than the rest I would suggest,S,"{""label"": ""Be""} 

Text: ""the user is not capable of",Be
it can be te ten mil across,S,"{""label"": ""S""} 

Text: ""it can be ten mil across",S
it s a erm its not an edge one then it s a it s a on the flat there,S,"{""label"": ""S""}
Okay, let's tackle this. The text",S
are two flats printing are not there more than one,S,"{""label"": ""S""}
Okay, let's tackle this classification. The text",S
one,S,"{""label"": ""Be""}
Text: ""one is the the idea that the",Be
while drawing if I where yeah the resistors sit on the lump there,S,"{""label"": ""Bs""}
Okay, let's tackle this classification. The text",Bs
draw refE1_15 Flipchartjpg top 1,D,"{""label"": ""S""} 

Text: ""draw refE1_",S
and you have got the type where the resistors sit on this corner here,S,"{""label"": ""S""}
Okay, let's tackle this. The text is",S
draw refE1_15 Flipchartjpg top 2,D,"{""label"": ""S""}
Text: ""draw refE1_15",S
it s a corner one,S,"{""label"": ""S""}
Text: ""it s a corner one"" →",S
it s a corner one,S,"{""label"": ""S""}
Okay, let's see. The text is """,S
no its not cheap,Bs,"{""label"": ""S""}
Text: ""no it is not cheap""
Label",S
it ll be about fifty percent more expensive,Bs,"{""label"": ""F""}
Text: ""so the main focus is about the",F
yes this there is an end,S,"{""label"": ""S""}
Text: ""so that the user can draw on",S
there is an end that goes over the paper is not there is sort of thing,Be,"{""label"": ""S""}
Okay, let's tackle this. The text",S
there is a type that does this as well though,S,"{""label"": ""Be""}
Okay, let's tackle this classification. The text",Be
draw refE1_15 Flipchartjpg middle overlap left,D,"{""label"": ""S""}
Text: ""draw refE1_15",S
but they type that we have got is like this but in actual fact its much more biased towards the edge,S,"{""label"": ""Be""}
Okay, let's tackle this classification. The text",Be
so you normally have a a slight angle here,S,"{""label"": ""Be""} 

Text: ""so the idea is that the",Be
right so easiest thing obviously draws on flip chart,S,"{""label"": ""Be""} 

Text: ""so the thermal pen should be",Be
yeah the the typically what you do is you have got foil going over and,S,"{""label"": ""S""}
Okay, let's tackle this. The text is",S
you get quite a lot you know you can have quite a lot of angle there,S,"{""label"": ""Be""}
Text: ""so the pen will be able to",Be
draw angle,D,"{""label"": ""Be""} 

Text: ""the pen needs to be able",Be
so we were talking mostly about that one or that one,S,"{""label"": ""Be""} 

Text: ""the other one is that",Be
that one sort of plus or minus,S,"{""label"": ""Be""} 

Text: ""and then the other one is",Be
all these you have to keep flat or long,S,"{""label"": ""Be""}
Text: ""so the pen has to be very",Be
its just its just whether we need flat or long,S,"{""label"": ""S""} The text ""its just its just whether we need",S
both axes,S,"{""label"": ""S""}
Text: ""the pen needs to be light to",S
both axes,S,"{""label"": ""S""}
Text: ""the pen has a replaceable ink",S
yeah I think we do well we need guidance on both axes whichever way,S,"{""label"": ""Be""}
Okay, let's tackle this classification. The text",Be
you do it I think,S,"{""label"": ""Be""}
Text: ""but I think it's more about",Be
you have like you have like a hot ball a hot ball like a ball point pen,S,"{""label"": ""S""}
Okay, let's tackle this labeling task.",S
draw circle draw refE1_15 Flipchartjpg middle,D,"{""label"": ""S""} 

Text: ""draw circle draw refE1",S
and then you had a tracker like an optical mast then,S,"{""label"": ""S""}
Text: ""but the idea is that the tracker",S
draw box draw refE1_15 Flipchartjpg middle,D,"{""label"": ""S""}
Text: ""draw box draw refE1_",S
I think that picture where you re moving a pen across the paper in sort of patterns repeating patterns,Be,"{""label"": ""Be""}
Alright, let's tackle this classification. The text",Be
instead of doing it all in one go like a wide printer would do it will just do a thin line at a time,Bs,"{""label"": ""Bs""}
Okay, let's tackle this classification. The",Bs
draw refE1_15 Flipchartjpg bottom,D,"{""label"": ""S""}
Text: ""draw refE1_15",S
but when you scribble backwards and forwards it,Bs,"{""label"": ""Be""} 
Text: ""the ink spreads and so the",Be
would build up and use that tracking capability to do that,Bs,"{""label"": ""Be""}
Text: ""as well as the tracking of the",Be
draw refE1_15 Flipchartjpg bottom,D,"{""label"": ""S""}
Text: ""draw refE1_15",S
and you would not have the angle problem,S,"{""label"": ""Be""} 

Text: ""and the pen would stay",Be
