UTTERANCE,TRUE_LABEL,RESPONSE,PRED_LABEL
yes this there is an end,S,"{""label"": ""S""}
Text: ""this is a new thermal pen""",S
there is an end that goes over the paper is not there is sort of thing,Be,"{""label"": ""S""} 
Text: ""there is a bit that goes",S
there is a type that does this as well though,S,"{""label"": ""Be""}
Text: ""but it s a different mechanism that",Be
draw refE1_15 Flipchartjpg middle overlap left,D,"{""label"": ""S""}

Text: ""draw refE1_15 Flip",S
but they type that we have got is like this but in actual fact its much more biased towards the edge,S,"{""label"": ""Bs""}

Text: ""and you have got the type where",Bs
so you normally have a a slight angle here,S,"{""label"": ""Be""}
Text: ""but with this pen you have a",Be
right so easiest thing obviously draws on flip chart,S,"{""label"": ""Be""}

Text: ""because the flip chart is just a",Be
yeah the the typically what you do is you have got foil going over and,S,"{""label"": ""S""}

Text: ""erm so the the the the thermal",S
you get quite a lot you know you can have quite a lot of angle there,S,"{""label"": ""Be""} 

Text: ""and it s got a bit",Be
draw angle,D,"{""label"": ""S""}

Text: ""what is the purpose of the pen",S
so we were talking mostly about that one or that one,S,"{""label"": ""Be""}
Text: ""the problem is that the other pen",Be
that one sort of plus or minus,S,"{""label"": ""D""}  
Text: ""that one is a sort of",D
all these you have to keep flat or long,S,"{""label"": ""S""}
Text: ""the wobbly arm movement of",S
its just its just whether we need flat or long,S,"{""label"": ""S""}

Text: ""because the sledge is very very",S
both axes,S,"{""label"": ""S""}

Text: ""the tip of the pen""
Label",S
both axes,S,"{""label"": ""S""}

Text: ""it s a bit like a s",S
yeah I think we do well we need guidance on both axes whichever way,S,"{""label"": ""Be""}
Text: ""so the main idea is to have",Be
you do it I think,S,"{""label"": ""D""}
Text: ""the problem is with the way the",D
you have like you have like a hot ball a hot ball like a ball point pen,S,"{""label"": ""Be""}
Text: ""so the the the idea is that",Be
draw circle draw refE1_15 Flipchartjpg middle,D,"{""label"": ""S""}

Text: ""the key is to have a flat",S
and then you had a tracker like an optical mast then,S,"{""label"": ""S""}
Text: ""the optical mast is a bit tricky",S
draw box draw refE1_15 Flipchartjpg middle,D,"{""label"": ""D""}

Text: ""the thing that the thermal pen is",D
